Problem |   Method
3       |   basic math
4       |   basic math, while loop
8       |   character compare
11      |   recursion
12      |   prefix sum
13      |   basic math
15      |   basic math, prefix table
16      |   printf %.*lf
17      |   basic math
18      |   get double by two int
19      |   getchar
20      |   basic math
21      |   array to store old info
22      |   printf %.3f
23      |   array to store old info
24      |   bruteforce check every elements
25      |   GCD/LCM, first/then*
26      |   get double by two int, printf %04d
28      |   count i + not count i
29      |   prefix sum
30      |   recursion
32      |   GCD
36      |   binary representation
40      |   basic math
